OPEID - Price,OPEID - 300,Name,NetPrice,DefRate,Program Length,College Type,Defaults,Loans
702200,7022,CUNY Lehman College,6159,6.6,8,1,113,1707
4242100,42421,University of North Texas at Dallas,6912,7.3,8,1,1267,17303
114100,1141,California State University-Dominguez Hills,3297,7.6,8,1,260,3377
261300,2613,New Jersey City University,11854,9.3,8,1,208,2236
151200,1512,Palm Beach State College,4134,13.2,6,1,297,2238
242400,2424,Mississippi Valley State University,11591,18.9,8,1,179,943
1146200,11462,University of Alaska Anchorage,11860,12.2,8,1,348,2847
359900,3599,The University of Texas Rio Grande Valley,4432,6.9,8,1,267,3833
113700,1137,California State University-Fullerton,8170,3.9,8,1,230,5872
195000,1950,Wichita State University,14175,7.4,8,1,249,3353
114000,1140,California State University-Los Angeles,3933,5.4,8,1,244,4471
710900,7109,SUNY College at Old Westbury,10050,7.9,8,1,76,960
115100,1151,San Diego State University,14344,2.8,8,1,159,5512
115400,1154,San Francisco State University,13250,4.8,8,1,270,5552
394400,3944,University of Puerto Rico-Mayaguez,7625,6.7,8,1,62,919
134500,1345,Adams State University,13888,9.7,8,1,103,1056
3260300,32603,California State University-Monterey Bay,11390,5.5,8,1,81,1472
347100,3471,South Dakota State University,21421,4.8,8,1,147,3038
499900,4999,Bellingham Technical College,7708,15.5,6,1,81,522
2116300,21163,Pueblo Community College,12744,17.4,6,1,337,1935
269300,2693,CUNY John Jay College of Criminal Justice,8530,5.5,8,1,85,1518
378600,3786,Peninsula College,7149,21.9,6,1,86,391
268700,2687,CUNY Brooklyn College,9771,5.9,8,1,116,1947
370500,3705,College of William and Mary,16734,1.3,8,1,16,1186
154600,1546,Armstrong State University,18854,7.1,8,1,148,2081
298600,2986,Winston-Salem State University,10340,12.7,8,1,230,1803
136000,1360,Metropolitan State University of Denver,12104,8.1,8,1,503,6142
159200,1592,South Georgia State College,8951,17.5,6,1,169,965
859700,8597,Feather River Community College District,12225,11.5,6,1,23,199
363200,3632,Texas A & M University-College Station,15455,2.1,8,1,170,7851
450800,4508,University of Colorado Denver/Anschutz Medical Campus,13751,3.4,8,1,157,4572
128900,1289,Shasta College,7537,19.5,6,1,83,424
227700,2277,Lake Michigan College,8090,21,5,1,134,638
3170300,31703,Texas A&M University-Texarkana,10761,8.5,8,1,41,480
269000,2690,CUNY Queens College,8704,4.3,8,1,70,1598
126900,1269,Rio Hondo College,7420,18.4,6,1,23,125
113400,1134,California State University Maritime Academy,14606,3.8,8,1,10,262
332500,3325,Millersville University of Pennsylvania,18624,6.4,8,1,151,2347
113900,1139,California State University-Long Beach,9867,3.6,8,1,241,6658
475900,4759,CUNY York College,7528,6.1,8,1,35,570
115500,1155,San Jose State University,13777,3.5,8,1,191,5401
114400,1144,California State Polytechnic University-Pomona,12598,3.7,8,1,134,3538
292600,2926,Elizabeth City State University,3156,13.5,8,1,106,781
268900,2689,CUNY Hunter College,10201,4.1,8,1,96,2336
115600,1156,Sonoma State University,16204,5.2,8,1,91,1720
161500,1615,University of Hawaii Maui College,8783,22.8,6,1,168,735
362500,3625,Sul Ross State University,14095,18.8,8,1,163,863
241000,2410,Jackson State University,12873,14.4,8,1,439,3039
365200,3652,University of Houston,15571,3.7,8,1,280,7515
113800,1138,California State University-East Bay,10758,5.9,8,1,189,3180
157500,1575,Gordon State College,12927,14.7,6,1,225,1524
115000,1150,California State University-Sacramento,9127,5.4,8,1,322,5927
353100,3531,The University of Tennessee-Martin,10430,10.2,8,1,188,1842
307801,3078,Wright State University-Lake Campus,8968,8.1,8,1,378,4661
374600,3746,University of Mary Washington,20499,1.8,8,1,17,915
376500,3765,Norfolk State University,15103,11.5,8,1,270,2344
202100,2021,Northwestern State University of Louisiana,11567,9.7,8,1,221,2258
309003,3090,Ohio State University-Marion Campus,12759,5,8,1,585,11670
316700,3167,University of Science and Arts of Oklahoma,8221,10.8,6,1,28,257
315700,3157,Langston University,13188,21.7,8,1,209,963
203100,2031,University of Louisiana at Lafayette,10200,6.7,8,1,189,2796
198900,1989,University of Kentucky,17850,4.5,8,1,229,5072
268800,2688,CUNY City College,8547,6.3,8,1,102,1617
364800,3648,Tyler Junior College,8863,18.5,6,1,557,3000
379600,3796,Tacoma Community College,6358,17.7,6,1,280,1579
329000,3290,Lincoln University,17516,13.5,8,1,101,747
115700,1157,California State University-Stanislaus,7557,4.6,8,1,87,1882
332400,3324,Mansfield University of Pennsylvania,17080,9.5,8,1,95,991
352900,3529,The University of Tennessee-Chattanooga,14559,6.4,8,1,172,2650
371900,3719,Longwood University,18835,3.9,8,1,38,967
297500,2975,University of North Carolina at Charlotte,12084,5.7,8,1,365,6319
382721,3827,West Virginia University Institute of Technology,8674,8.5,8,1,633,7427
321000,3210,Oregon State University,19484,3.9,8,1,234,5949
1164400,11644,University of Maryland-University College,12483,6.4,8,1,610,9530
262500,2625,William Paterson University of New Jersey,15530,8.1,8,1,256,3125
109200,1092,University of Central Arkansas,12988,8.1,8,1,228,2796
317200,3172,Oklahoma State University Institute of Technology,9838,17.3,6,1,154,886
331800,3318,Clarion University of Pennsylvania,17972,8.3,8,1,155,1853
100500,1005,Alabama State University,12796,21.1,8,1,466,2208
264200,2642,The College of New Jersey,22421,1.7,8,1,24,1392
260900,2609,Rowan University,18067,4.7,8,1,142,3015
202600,2026,Southern University at New Orleans,5909,16.2,8,1,168,1035
727300,7273,CUNY Bernard M Baruch College,9510,3.5,8,1,51,1430
3980300,39803,California State University-Channel Islands,14461,3.5,8,1,37,1056
