States,Abbr,Defaults,Loans,Def Rate,Lat,Long,Coordinates
Alaska,AK,658,5222,12.60%,61.370716,-152.404419,"[61.370716, -152.404419]"
Alabama,AL,10239,79680,12.90%,32.806671,-86.79113,"[32.806671, -86.79113]"
Arkansas,AR,5838,56394,10.40%,34.969704,-92.373123,"[34.969704, -92.373123]"
Arizona,AZ,34169,276354,12.40%,33.729759,-111.431221,"[33.729759, -111.431221]"
California,CA,30536,370505,8.20%,36.116203,-119.681564,"[36.116203, -119.681564]"
Colorado,CO,10961,97863,11.20%,39.059811,-105.311104,"[39.059811, -105.311104]"
Connecticut,CT,5766,56505,10.20%,41.597782,-72.755371,"[41.597782, -72.755371]"
District of Columbia,DC,3626,42605,8.50%,38.897438,-77.026817,"[38.897438, -77.026817]"
Delaware,DE,1176,12340,9.50%,39.318523,-75.507141,"[39.318523, -75.507141]"
Florida,FL,33507,283984,11.80%,27.766279,-81.686783,"[27.766279, -81.686783]"
Georgia,GA,16444,145793,11.30%,33.040619,-83.643074,"[33.040619, -83.643074]"
Hawaii,HI,972,10270,9.50%,21.094318,-157.498337,"[21.094318, -157.498337]"
Iowa,IA,11201,97348,11.50%,42.011539,-93.210526,"[42.011539, -93.210526]"
Idaho,ID,2493,26286,9.50%,44.240459,-114.478828,"[44.240459, -114.478828]"
Illinois,IL,20275,207086,9.80%,40.349457,-88.986137,"[40.349457, -88.986137]"
Indiana,IN,12599,112652,11.20%,39.849426,-86.258278,"[39.849426, -86.258278]"
Kansas,KS,5693,53409,10.70%,38.5266,-96.726486,"[38.5266, -96.726486]"
Kentucky,KY,10155,71807,14.10%,37.66814,-84.670067,"[37.66814, -84.670067]"
Louisiana,LA,6927,62210,11.10%,31.169546,-91.867805,"[31.169546, -91.867805]"
Massachusetts,MA,6288,103708,6.10%,42.230171,-71.530106,"[42.230171, -71.530106]"
Maryland,MD,6423,68063,9.40%,39.063946,-76.802101,"[39.063946, -76.802101]"
Maine,ME,2226,21128,10.50%,44.693947,-69.381927,"[44.693947, -69.381927]"
Michigan,MI,24599,186930,13.20%,43.326618,-84.536095,"[43.326618, -84.536095]"
Minnesota,MN,11104,143071,7.80%,45.694454,-93.900192,"[45.694454, -93.900192]"
Missouri,MO,10286,100842,10.20%,38.456085,-92.288368,"[38.456085, -92.288368]"
Mississippi,MS,5747,40860,14.10%,32.741646,-89.678696,"[32.741646, -89.678696]"
Montana,MT,1279,13535,9.40%,46.921925,-110.454353,"[46.921925, -110.454353]"
North Carolina,NC,11271,104402,10.80%,35.630066,-79.806419,"[35.630066, -79.806419]"
North Dakota,ND,800,12905,6.20%,47.528912,-99.784012,"[47.528912, -99.784012]"
Nebraska,NE,2388,30822,7.70%,41.12537,-98.268082,"[41.12537, -98.268082]"
New Hampshire,NH,3456,35809,9.70%,43.452492,-71.563896,"[43.452492, -71.563896]"
New Jersey,NJ,7578,89608,8.50%,40.298904,-74.521011,"[40.298904, -74.521011]"
New Mexico,NM,3561,21803,16.30%,34.840515,-106.248482,"[34.840515, -106.248482]"
Nevada,NV,3212,20959,15.30%,38.313515,-117.055374,"[38.313515, -117.055374]"
New York,NY,21128,266222,7.90%,42.165726,-74.948051,"[42.165726, -74.948051]"
Ohio,OH,23776,195635,12.20%,40.388783,-82.764915,"[40.388783, -82.764915]"
Oklahoma,OK,9242,65983,14.00%,35.565342,-96.928917,"[35.565342, -96.928917]"
Oregon,OR,8817,72710,12.10%,44.572021,-122.070938,"[44.572021, -122.070938]"
Pennsylvania,PA,19042,210604,9.00%,40.590752,-77.209755,"[40.590752, -77.209755]"
Rhode Island,RI,1300,20264,6.40%,41.680893,-71.51178,"[41.680893, -71.51178]"
South Carolina,SC,4495,63332,7.10%,33.856892,-80.945007,"[33.856892, -80.945007]"
South Dakota,SD,2610,20492,12.70%,44.299782,-99.438828,"[44.299782, -99.438828]"
Tennessee,TN,9766,106572,9.20%,35.747845,-86.692345,"[35.747845, -86.692345]"
Texas,TX,33216,318268,10.40%,31.054487,-97.563461,"[31.054487, -97.563461]"
Utah,UT,4956,61117,8.10%,40.150032,-111.862434,"[40.150032, -111.862434]"
Virginia,VA,11814,125880,9.40%,37.769337,-78.169968,"[37.769337, -78.169968]"
Vermont,VT,664,11146,6.00%,44.045876,-72.710686,"[44.045876, -72.710686]"
Washington,WA,6276,67693,9.30%,47.400902,-121.490494,"[47.400902, -121.490494]"
Wisconsin,WI,9052,93131,9.70%,44.268543,-89.616508,"[44.268543, -89.616508]"
West Virginia,WV,8757,49323,17.80%,38.491226,-80.954453,"[38.491226, -80.954453]"
Wyoming,WY,769,6230,12.30%,42.755966,-107.30249,"[42.755966, -107.30249]"
