Drate,Denom
19.8,1902
12.2,1471
9.1,784
21.1,2208
22.6,579
7.1,924
3,3750
6.6,227
17.3,2489
20.9,377
9.6,1547
10.8,360
11.8,2454
13,1568
15.9,132
7.8,1889
10.7,204
11.2,774
6.7,574
15.1,330
13.7,616
1.9,914
25.8,394
16.7,915
6.2,369
22.9,406
32,250
10.4,7139
11.5,876
5.2,5814
5.9,4250
7.4,1491
8.4,3955
18.5,1345
7.8,192
12.2,1341
12.5,400
22.2,355
7.1,293
6.1,29753
19.2,2857
19,4152
21.3,2434
20.4,842
6.5,18571
7.4,7067
5.8,7084
17.8,1234
14.1,959
33.2,523
7.7,194
10.8,2731
6.5,4507
13,436
8.1,2796
7.6,248
12.7,141
10.1,59
4.4,1353
8.3,1134
4.8,250
3.1,631
9.7,3280
5.3,301
20.1,238
11.4,35
27.8,276
4.8,184
15.7,932
5.4,4279
2,718
15.2,1576
22.6,190
26.9,1638
5,415
3.4,3593
22.5,386
2.1,47
2.9,1311
16.4,347
3.9,2381
4,467
3.3,30
6.3,392
3.1,1193
3.8,262
3.9,5872
5.9,3180
3.6,6658
5.4,4471
7.6,3377
5.9,3812
1.5,2989
3.7,3538
4.8,3040
5,3849
6.8,2068
5.4,5927
2.8,5512
5.4,7546
4.8,5552
3.5,5401
5.2,1720
4.6,1882
16.7,620
12.2,196
6,50
2.2,1736
2,48
14.1,290
3.6,460
1.2,79
0.8,124
3.9,127
0,68
1.5,126
24.2,165
12.9,155
28.4,383
4,591
19.4,77
24,125
4,444
16.2,252
17.9,178
20,294
13.3,135
10.8,239
10,408
9.5,336
2.4,613
15.8,233
14.2,520
3.4,405
19,524
13.3,105
10.2,408
3.2,791
11.1,270
1,100
13.4,320
24.7,178
8.6,406
5.1,677
4.7,2513
19.7,76
1.3,1302
21.5,950
3.9,357
18.2,694
10.7,102
13.8,695
23.6,457
13.6,492
3,195
0,118
18.2,1330
20.4,924
5.2,192
2.5,540
14.8,189
15.2,190
4.2,1118
10.1,285
14,50
6.6,90
1.1,355
14.5,462
6,266
6,444
6.5,1279
5.3,429
5.8,51
7.1,448
17.2,255
13.4,275
3.3,962
28.2,152
24.3,152
18.4,125
10.5,417
11.5,165
15.2,589
11.2,490
1.7,117
8.1,61
20.6,805
4.8,393
16.8,202
9.8,183
15.5,1486
13.1,350
13.7,393
2,50
19.5,424
19.3,923
4.7,444
13.4,290
4.3,755
10.9,265
0.2,337
4,49
3.4,1172
0.5,959
21.1,545
15.5,225
2.4,4705
2,5620
1.9,4929
1.8,6738
2.8,4427
2.1,4928
0.5,736
2.4,3696
3.6,3360
2.7,1548
3,2319
0.9,1404
1.8,7729
1.9,1694
19.4,416
15,253
8.8,90
2.4,369
1.3,296
3.6,731
6.3,394
15,93
9.7,1056
10.7,2416
0,230
1.4,819
4.7,3089
2.8,5487
2.5,233
10.2,996
3.7,79
17.7,158
10.7,2623
9,244
8.1,6142
17.1,506
20,340
3.2,2860
8.8,1750
15,286
3.1,4515
1.7,2761
6,548
8.7,662
6,2818
3.2,280
5.8,1369
0.8,848
5,40
3.1,32
4.3,138
15.5,251
4.1,1554
0,30
7.3,41
18.3,5019
1.9,1937
3.4,1544
6.3,2820
2.5,776
1.9,251
10.3,1260
2.5,5492
5.4,1737
1.6,362
5.7,1383
0.8,1164
13.3,1292
11.7,170
2.8,3224
13.4,640
1.8,2682
5.4,182
3.4,1448
15.1,1473
8.8,315
1.7,4632
1,3239
7.8,2506
10.6,23813
12.3,1082
3.9,102
5.8,3060
15.3,1404
6.6,827
8.5,3089
16.9,2497
16.3,2063
4.2,47
13.8,3453
12.4,2781
21.7,396
5.7,3114
9.5,3194
5.8,6054
2,196
13.5,5561
14.8,128
19.1,658
5,540
4.6,724
3.4,7724
15.1,767
17.5,1405
5.3,1331
28.4,27770
12.7,5022
14.8,250
12.6,182
13.2,2010
6.5,443
11.3,4269
3.3,8265
15.4,459
13.2,2238
19,631
16.1,1105
4.4,693
15.2,3140
14.7,4460
10.4,991
12.9,162
10.3,1025
7.9,5956
11.8,7230
4,993
19.1,4143
1.9,7184
2.3,2739
3.4,10483
3,1612
13.9,423
11.1,950
5.4,237
14.1,4081
15.6,153
7.1,2081
13.1,548
3.5,481
11.7,492
7,1090
14.9,228
7.1,797
12,1354
0,52
8.7,2431
13.8,224
1.7,2331
14.2,1256
10.8,147
1.2,2472
17.3,3385
6.4,5464
5.6,988
9.6,13250
14.7,1524
6.4,8093
10.3,397
6.8,2887
4.9,2599
12.8,3240
13.4,663
8.2,3604
10,289
28.2,463
4.1,884
14.1,459
18.5,1852
9.8,1076
17.5,965
5,558
7.7,257
7.9,189
2.4,5299
8.3,3684
3.5,167
8.6,3350
3,1459
6.6,314
5.6,616
4.6,362
4.2,3285
7.5,1001
20.3,403
12.6,615
20.6,150
22.8,735
6,4843
6.1,243
14.9,2110
7.3,3444
12.8,1183
16.6,1664
3.2,684
3.7,4488
5.7,2526
2.8,141
11.1,27
2.1,657
4.5,1616
23.1,2169
0,40
15.3,572
10.2,225
19.3,890
2.4,1228
17.5,234
16.1,668
22,426
22.7,848
22.3,1015
25.8,1404
15.4,491
0.1,1485
1.2,470
2.1,47
11.9,42
3.9,879
8.9,3208
3.9,1815
14.3,237
4.2,6076
6.3,2704
12.2,818
3.2,910
7.2,262
16.8,249
1.3,73
4.2,518
0,96
4.1,265
0.6,152
2.7,1027
3.5,4552
6.6,1755
12,2206
1.8,480
1.7,458
11.1,1009
4,392
13.1,281
10.2,692
3.1,346
11.4,254
2.3,379
4.4,1727
4.1,310
7.3,609
3.1,3983
6.9,43
19.8,131
12.5,192
3.2,31
6.1,719
0,52
8.2,719
9.6,434
13.5,155
3.9,226
4.1,1788
3,873
5.1,882
4.5,44
7.7,5669
1,3119
4.9,1458
14.5,103
6.6,464
7.9,1730
14.4,554
8.1,479
6.4,2275
4.2,970
16.1,229
5.6,703
9.4,4715
6.3,3531
7.6,13
4.1,1944
6.7,1430
3.9,480
6.6,749
18.4,476
0.8,1854
2.2,6262
2.6,5796
13.1,38
9.6,62
8.4,3571
1,548
4,49
16.9,195
8.1,661
4.7,5080
5.9,638
2.1,976
9.5,42
2.2,363
4.8,270
3,591
5.6,302
2.4,288
3.4,431
4,299
5.1,332
7.4,1496
23.7,2871
11.9,3463
6.5,2400
3.9,6525
8.8,1050
6.3,7801
7.2,946
12.3,1582
8.7,1833
8.7,1747
3.1,410
5.1,820
5.6,5978
4.3,46
6.8,175
2.6,5377
8.8,3131
8.1,2930
0.9,412
5.2,834
13.5,413
5.2,363
1.7,291
2.8,392
7.3,693
0.6,1659
3.8,1076
23.2,3205
6.3,206
6.9,462
7.7,1130
19.3,704
4.6,412
2.1,367
1.7,349
0.8,462
3.6,299
16.7,453
6.2,32
2.8,354
1.8,1097
20.5,409
14,749
22.1,2278
9.6,768
5.7,754
2.4,250
3.4,5940
6.9,258
4.3,435
1.8,579
20.3,471
16,820
4.6,563
3.5,539
13.5,40148
3.6,354
3.3,510
4.3,983
3.9,3067
9.3,661
2.6,5118
9.1,2228
9.7,533
6.6,480
2.1,95
12.3,697
15.6,593
6.1,1257
4.8,1106
12.1,239
8,186
17.3,2169
27.7,375
13,491
7.9,290
9.4,295
13.2,211
8,161
6.3,2755
21.4,584
12,75
8,890
